N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
10,2000,2000,0.2484610736370086,0.0930968623405517,0.1903461188077926,0.1093371584195075,0.1374728918075561,0.1250181181440706,192.0381691455841,0.0825262424358984,0.0373502580163501,0.0029186248779296,0.0749944339634891,0.03476916096407,0.0034060478210449
20,2000,2000,0.1062130063772201,0.0443816324979223,0.1374437406659126,0.0721390621419758,0.0704271972179412,0.0300086714165979,187.90725202560424,0.0405283087984334,0.0223466072378576,0.0034629821777343,0.0363061308300575,0.0206439200829917,0.0035283088684082
30,2000,2000,0.0537944763898849,0.0121381431097163,0.0569949738681316,0.0058315811752054,0.0288077592849731,0.0152435718371328,174.60848646163942,0.0265046597242905,0.0055728798324674,0.0020203590393066,0.0233684867987222,0.0046663229063163,0.0030427932739257
40,2000,2000,0.0676992740482091,0.0311240828685452,0.068263928592205,0.0243271067686299,0.0409590184688568,0.0360087082161218,183.86640157699583,0.0251408233893247,0.0100440767849936,0.0020840644836425,0.0218365625912849,0.0084864208763803,0.003429365158081
50,2000,2000,0.0357031954452395,0.0179324207609997,0.034456343203783,0.0380440056944208,0.0223805487155914,0.0280689761677617,162.8244204044342,0.0197347015913912,0.0090194325658269,0.0032564163208007,0.0174878270923817,0.0084204975577605,0.0039150238037109
60,2000,2000,0.0557120949029922,0.0095734434860445,0.0328169714659452,0.0353542667630933,0.0087810218334198,0.0135943797198232,172.82417035102844,0.0238603161277673,0.0060465389000106,0.0022955894470214,0.0212752469515753,0.0057307202062322,0.0033603191375732
70,2000,2000,0.0245089946314692,0.008998873021537,0.0467689417302608,0.0272993020837033,0.0094309628009796,0.0104646613788514,174.03314533233643,0.0189660855535185,0.0052355734926756,0.0024229049682617,0.016604118379065,0.0048878322458656,0.0033157348632812
80,2000,2000,0.028449073061347,0.007022328098124,0.0253622028045356,0.0203681807315033,0.0181807339191436,0.0164654109335624,167.94926762580872,0.0178214990516746,0.0044237222694691,0.0022351264953613,0.0154349299485866,0.0041159534093359,0.0033028602600097
90,2000,2000,0.0244469795376062,0.005189790391696,0.0313311135396361,0.0233486554687555,0.0115490913391113,0.0128276316349586,159.28655185699463,0.018642707734327,0.0047304424296053,0.0022817134857177,0.0164990974118823,0.0047137951773347,0.0034132480621337
100,2000,2000,0.0202219687402248,0.0051153852081421,0.0165831520222127,0.019876521829035,0.0004074037075042,0.0007141970654839,165.7516758441925,0.0143110749882335,0.0029442455824978,0.0022590637207031,0.0124916116787372,0.0028290418791747,0.003472900390625
110,2000,2000,0.0185502914711833,0.0068832309930465,0.0196542501915246,0.0160525921751732,0.0051284432411193,0.0043355354556651,168.74285626411438,0.0121965487001896,0.0025930812758339,0.0033054828643798,0.0103692195804129,0.0023276872843606,0.0044590950012207
120,2000,2000,0.0200919274240732,0.0058604317860293,0.028808413632214,0.0228144504735254,0.0078242063522338,0.0084060385649598,170.41571574211122,0.0177763355847396,0.0042160198741024,0.0033241748809814,0.0151337255298881,0.0035593013370859,0.0311745643615722
130,2000,2000,0.0163852183148264,0.0041980697853714,0.0100135542452335,0.0170595016958363,0.0027309775352478,0.003603882196915,166.5866590023041,0.0110072125947994,0.0014603844898126,0.0024851322174072,0.0093597346302283,0.0012612672705596,0.0033793449401855
140,2000,2000,0.0128528075292706,0.0028090351967449,0.0103504044935107,0.0109727977318563,0.0020461976528167,0.0035870767303375,150.64147448539734,0.0117864954416663,0.0029328620400381,0.0021144866943359,0.0099569078391681,0.0025939437788698,0.0031586647033691
150,2000,2000,0.0138053239323198,0.0038489979280016,0.0116707234643399,0.0068795700456651,0.005043339729309,0.0059355458854864,158.48989367485046,0.011536819220239969,0.0012986905075237749,0.002446556091308594,0.009745525073978786,0.0011188693356390565,0.0032968521118164062
